chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	mode_word	word_ipa_len	stability	mode_count	total_extensions	gloss	all_words_json
nu-i-na	nu-i-na	nu-i-na-i-da-ja	6	dra-pro	Proto-Dravidian	jaɳʈ-	4	0.8333	5	6		"[""ir-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-""]"
u-i-na-i	u-i-na-i	u-i-na-i-da-ja-s	6	dra-pro	Proto-Dravidian	jaɳʈ-	4	0.8333	5	6		"[""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""po\u0288\u0288-""]"
a-si-i-pi	a-si-i-pi	a-si-i-pi-na-ma	5	dra-pro	Proto-Dravidian	paːraj	6	0.8000	4	5		"[""pa\u02d0raj"", ""pa\u02d0raj"", ""pa\u02d0raj"", ""pa\u02d0raj"", ""ja\u0273\u0288-""]"
i-i-pi-na	i-i-pi-na	i-i-pi-na-ma-i-n	5	dra-pro	Proto-Dravidian	jaɳʈ-	4	0.8000	4	5		"[""ja\u02d0-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-""]"
i-nu-i-na	i-nu-i-na	i-nu-i-na-i-da-j	5	dra-pro	Proto-Dravidian	jaɳʈ-	4	0.8000	4	5		"[""ja\u02d0-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-""]"
na-i-*301-ti	na-i-*301-ti	na-i-*301-ti-ja-sa	5	dra-pro	Proto-Dravidian	paːraj	6	0.8000	4	5		"[""pa\u02d0raj"", ""pa\u02d0raj"", ""pa\u02d0raj"", ""pa\u02d0raj"", ""pa\u02d0\u0288a-""]"
a-i-*301-u-ti	a-i-*301-u-ti	a-i-*301-u-ti-nu-ja	5	dra-pro	Proto-Dravidian	paːraj	6	0.8000	4	5		"[""pa\u02d0raj"", ""pa\u02d0raj"", ""pa\u02d0raj"", ""pa\u02d0raj"", ""ja\u02d0-""]"
i-pi-na	i-pi-na	i-pi-na-ma-si-r	9	dra-pro	Proto-Dravidian	jaɳʈ-	4	0.7778	7	9		"[""ja\u02d0-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u02d0h""]"
pi-na-ma	pi-na-ma	pi-na-ma-i-na-j	9	dra-pro	Proto-Dravidian	jaɳʈ-	4	0.7778	7	9		"[""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u02d0h"", ""ja\u0273\u0288-"", ""po\u0288\u0288-""]"
i-te-te	i-te-te	i-te-te-re-p	4	dra-pro	Proto-Dravidian	jaːh	4	0.7500	3	4		"[""ja\u02d0-"", ""ja\u02d0h"", ""ja\u02d0h"", ""ja\u02d0h""]"
