# Source: eDiAna Digital Philological-Etymological Dictionary of the Minor Ancient Anatolian Corpus Languages (Lydian)
# URL: https://www.ediana.gwi.uni-muenchen.de/
# License: CC BY-SA 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
laqriša-	woodwork (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
eša-	to maintain (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kikorši-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šodqλτa-(d)	to act as a šodqλτa-	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ẽnτawλo-	soul of the deceased (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cawλo-	soul of the deceased (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
=mas	as much (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
išmẽn-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
atνa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
aλtoka-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
afaλa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*walwe-	lion (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
u-(d)	to write	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
asina-	(a burial installation)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kocw(i)-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
fẽdanoli-(t)	(an offensive action)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kspλtaλ	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
miwa-	mild, (sbst.) ointment (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*miw-	soft	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
aνat(i)-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tulo-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
aνi-	installation (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
fadi-	to cause	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pita-(t)	to make a donation, to give as a gift (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pitocν	like a gift or pledge (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
astrko-	lady (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
in-(t)	to do, make	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šanto-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šani-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
sana-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kafoλcν	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pašνsakνãki-(d)	to cause impurity	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
awkufo-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
awka(/i)-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kolc(i)-	rightful (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ẽnwνato-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
una-	to let know (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wnẽni-	to acknowledge	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ẽtwerš(i)-	help	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*wer(i)-	to help	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wesfa-	good, dear (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wisw(i)-	pious, holy	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
niwisw(i)-	impious, unholy	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wãna-	(rock-carved) grave	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
luko-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ãnτẽt	thus (speaks)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
arsτãnši-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cato-(d)	to perform a payment (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
co-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cẽni-(t) (τẽni-(t))	to designate (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tac(i)-	offering, dedication	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
