# Source: IDS — Intercontinental Dictionary Series, Elamite (contribution 216)
# URL: https://ids.clld.org/contributions/216
# License: CC BY 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
kumaš; ku-maš	he-goat	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pitu; pi-tú; pi-tu	kid	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
lakpilan; lak-pi-la-an	horse (equine)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
dudu; du-du; du-ud-du	foal, colt	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
du-ip; tranku; it-ra-an-ku; ši-ši	ass, donkey	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
paha; pa-ha	mule	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
zamama; za-ma-ma	fowl	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
rum; ru-um	hen	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hi-pu-ur; ip-pu-ur	goose	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šu-da-ba	duck	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hu-pi-e	nest	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ti-ut	bird	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ba-zi-zi; ba-iz-zí-zí	eagle	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
qa-iš-ba-h	parrot	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hal-ki-ni	dog	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
duma; du-ma	wolf	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
zibbaru; zib-ba-ru	camel	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
lahi; la-hi	scorpion	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
za-na-bu-na	worm	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šin; ši-in-pi; šim-bi	snake	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ha-te-en	skin, hide	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
i-iš-ti	flesh	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
*ku-na; še-e	hair (head)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
san; sa-an	blood	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kassu; qa-as-su; kás-su	horn	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ukku; uk-ku; uk-gi; ukku.e	head	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
el; el-ti; el	eye	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
siri; si-ri	ear	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
