chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	stability	mode_word	mode_count	total_extensions	gloss	all_words_json
a-ja-tu	a-ja-tu	a-ja-tu-ru-sa-i	6	peo	Old Persian	0.8333	aθaⁿɡaʰ	5	6		"[""ja\u03b8a\u02d0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0""]"
a-ma-na	a-ma-na	a-ma-na-da-wa-i	6	cms	Messapic	0.8333	teuta	5	6	community/people	"[""teuta"", ""teuta"", ""teuta"", ""teuta"", ""teuta"", ""toi""]"
a-na-da	a-na-da	a-na-da-wa-i-ja	6	cms	Messapic	0.8333	toi	5	6	dative masculine article	"[""ti"", ""toi"", ""toi"", ""toi"", ""toi"", ""toi""]"
a-na-da	a-na-da	a-na-da-wa-i-ja	6	peo	Old Persian	0.8333	aiva	5	6	one	"[""aiva"", ""aiva"", ""aiva"", ""aiva"", ""aiva"", ""aivat\u0283ada\u03b8a""]"
a-na-da	a-na-da	a-na-da-wa-i-ja	6	uga	Ugaritic	0.8333	mid	5	6	oracc neo	"[""s\u02e4uru"", ""mid"", ""mid"", ""mid"", ""mid"", ""mid""]"
a-na-da	a-na-da	a-na-da-wa-i-ja	6	xle	Eteocypriot	0.8333	rom	5	6	meaning uncertain	"[""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""aker""]"
a-na-ti	a-na-ti	a-na-ti-*301-wa-ja	6	xur	Urartian	0.8333	naxitse	5	6		"[""u\u0283t"", ""naxitse"", ""naxitse"", ""naxitse"", ""naxitse"", ""naxitse""]"
a-ra-ma	a-ra-ma	a-ra-ma-na-da-w	6	elx	Elamite	0.8333	muru	5	6	earth	"[""muru"", ""mur"", ""muru"", ""muru"", ""muru"", ""muru""]"
a-se-ka	a-se-ka	a-se-ka-na-si-s	6	dra-pro	Proto-Dravidian	0.8333	poʈʈ-	5	6		"[""put\u0283"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-""]"
a-se-ka	a-se-ka	a-se-ka-na-si-s	6	peo	Old Persian	0.8333	-ika	5	6		"[""-ika"", ""-ika"", ""-ika"", ""-ika"", ""-ika"", ""kaufa\u02b0""]"
a-se-ka	a-se-ka	a-se-ka-na-si-s	6	xcr	Eteocretan	0.8333	γέl̩α	5	6		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
a-tu-ru	a-tu-ru	a-tu-ru-sa-i-da	6	hit	Hittite	0.8333	pata	5	6	place	"[""kut"", ""pata"", ""pata"", ""pata"", ""pata"", ""pata""]"
da-da-u	da-da-u	da-da-u-ti-nu-i	6	ave	Avestan	0.8333	stu-	5	6	to praise	"[""st\u00fbt"", ""stu-"", ""stu-"", ""stu-"", ""stu-"", ""stu-""]"
da-da-u	da-da-u	da-da-u-ti-nu-i	6	xcr	Eteocretan	0.8333	βάνðα	5	6		"[""\u2020=\u00f0"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
da-da-u	da-da-u	da-da-u-ti-nu-i	6	xle	Eteocypriot	0.8333	rom	5	6	meaning uncertain	"[""rom"", ""rom"", ""rom"", ""rom"", ""rom"", ""p\u02b0oke""]"
da-u-ti	da-u-ti	da-u-ti-nu-i-na	6	ave	Avestan	0.8333	us-	5	6	above	"[""us-"", ""us-"", ""us-"", ""us-"", ""us-"", ""ushan\u0261h""]"
da-u-ti	da-u-ti	da-u-ti-nu-i-na	6	cms	Messapic	0.8333	ai	5	6	conjunction (hypothetical)	"[""ai"", ""ai"", ""teuta"", ""ai"", ""ai"", ""ai""]"
da-u-ti	da-u-ti	da-u-ti-nu-i-na	6	phn	Phoenician	0.8333	miː	5	6		"[""\u0294an\u012b"", ""mi\u02d0"", ""mi\u02d0"", ""mi\u02d0"", ""mi\u02d0"", ""mi\u02d0""]"
da-u-ti	da-u-ti	da-u-ti-nu-i-na	6	xcr	Eteocretan	0.8333	βάνðα	5	6		"[""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u2020=\u00f0"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
e-ka-na	e-ka-na	e-ka-na-si-si-r	6	dra-pro	Proto-Dravidian	0.8333	oʈ-	5	6		"[""o\u0288-"", ""o\u0288-"", ""o\u0288-"", ""o\u0288-"", ""u\u02d0r"", ""o\u0288-""]"
e-ka-na	e-ka-na	e-ka-na-si-si-r	6	peo	Old Persian	0.8333	kaufaʰ	5	6	mountain	"[""kuu\u0283a"", ""kaufa\u02b0"", ""kaufa\u02b0"", ""kaufa\u02b0"", ""kaufa\u02b0"", ""kaufa\u02b0""]"
